"DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF","HPM","APM","HB","AB","WIN"
"83",20141108,"CHI",101,34,74,8,18,9,15,11,27,26,5,8,2,16,"BOS",106,35,62,7,19,15,20,7,38,25,6,12,3,17,"0.456521739130435","0.518518518518518","0.625","0.5","Away"
"84",20141108,"HOU",87,20,44,10,42,17,21,16,30,13,14,22,0,17,"GSW",98,30,59,9,28,11,17,15,39,22,11,26,8,19,"0.348837209302326","0.448275862068966","0.636363636363636","0.423076923076923","Away"
"85",20141108,"IND",90,25,53,8,24,16,25,8,30,11,5,18,3,24,"WAS",97,37,70,2,11,17,23,13,36,23,8,14,4,25,"0.428571428571429","0.481481481481481","0.277777777777778","0.571428571428571","Away"
"86",20141108,"LAC",106,35,69,5,12,21,30,8,29,17,8,7,4,19,"POR",102,26,55,10,25,20,25,9,34,25,2,16,3,26,"0.493827160493827","0.45","1.14285714285714","0.125","Home"
"87",20141108,"MIA",102,36,65,5,13,15,17,6,34,26,8,14,2,19,"MIN",92,31,71,4,16,18,23,17,32,13,9,16,2,17,"0.525641025641026","0.402298850574713","0.571428571428571","0.5625","Home"
"88",20141108,"MIL",93,35,70,5,18,8,11,16,27,24,7,16,4,24,"MEM",92,26,68,3,14,31,34,15,25,15,9,13,2,18,"0.454545454545455","0.353658536585366","0.4375","0.692307692307692","Home"
"89",20141108,"SAS",99,31,62,5,18,22,29,17,32,15,4,18,7,17,"NOP",100,32,64,8,21,12,14,6,24,22,11,11,9,20,"0.45","0.470588235294118","0.222222222222222","1","Away"
"90",20141109,"BKN",104,36,69,4,14,20,23,14,31,23,10,14,5,21,"ORL",96,31,60,8,15,10,16,5,26,25,7,17,2,24,"0.481927710843373","0.52","0.714285714285714","0.411764705882353","Home"
"91",20141109,"DAL",96,26,54,9,29,17,24,15,26,22,8,13,7,15,"MIA",105,33,53,9,23,12,20,6,32,31,7,13,3,23,"0.421686746987952","0.552631578947368","0.615384615384615","0.538461538461538","Away"
"92",20141109,"DET",96,30,70,6,23,18,25,18,33,19,6,11,2,22,"UTA",97,27,57,6,15,25,35,9,34,20,7,11,2,18,"0.387096774193548","0.458333333333333","0.545454545454545","0.636363636363636","Away"
"93",20141109,"LAL",107,36,65,6,17,17,22,8,30,28,8,11,2,23,"CHA",92,32,65,3,14,19,27,12,27,15,5,11,0,18,"0.51219512195122","0.443037974683544","0.727272727272727","0.454545454545455","Home"
"94",20141109,"OKC",101,30,60,6,18,23,27,11,29,16,5,14,6,22,"SAC",93,30,56,6,24,15,22,9,28,23,11,10,2,24,"0.461538461538462","0.45","0.357142857142857","1.1","Home"
"95",20141109,"PHX",107,22,49,12,30,27,33,9,30,17,9,21,2,19,"GSW",95,22,45,11,24,18,21,3,33,16,9,26,7,26,"0.430379746835443","0.478260869565217","0.428571428571429","0.346153846153846","Home"
"96",20141109,"POR",116,29,69,16,31,10,14,16,35,27,7,10,11,21,"DEN",100,31,78,5,13,23,30,18,37,14,5,15,7,22,"0.45","0.395604395604396","0.7","0.333333333333333","Home"
"97",20141109,"TOR",120,36,59,7,17,27,30,4,35,23,12,20,8,17,"PHI",88,23,53,10,34,12,18,11,20,19,11,17,6,23,"0.565789473684211","0.379310344827586","0.6","0.647058823529412","Home"
"98",20141110,"CHI",102,32,68,7,20,17,20,9,40,22,6,10,8,19,"DET",91,27,66,7,14,16,25,9,37,19,5,15,6,21,"0.443181818181818","0.425","0.6","0.333333333333333","Home"
